Causa,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,Total Lesionados
Imprudencia del peatón,258,137,79,9,37,125
Otras causas,136,65,23,2,23,48
Causas no determinadas,74,40,17,5,10,32
Imprudencia del conductor,183,40,33,8,117,158
Desobediencia a señalización,140,16,39,22,61,122
Alcohol en peatón,49,9,26,7,9,42
Alcohol en conductor,15,2,3,2,7,12
Alcohol en pasajero,2,1,0,0,1,2
Imprudencia del pasajero,5,1,2,1,1,4
Deficiencias viales,5,1,2,1,1,4
Drogas y/o fatiga en conductor,2,0,1,0,0,1
Fallas mecánicas,27,0,4,0,8,12
Velocidad imprudente y pérdida control vehículo,3,0,1,0,1,2



Año,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,Total Lesionados,Índice de Severidad
2014,80,30,23,5,23,51,37.5
2015,60,21,9,3,17,29,35.0
2016,90,35,25,11,49,85,38.9
2017,84,36,17,3,14,34,42.9
2018,95,44,25,5,27,57,46.3
2019,97,31,31,5,39,75,32.0
2020,75,15,20,3,16,39,22.7
2021,111,26,22,4,40,70,23.4
2022,112,36,24,5,37,66,32.1
2023,95,35,31,7,15,53,38.6


|  Año    | Siniestros | Fallecidos | Lesionados Graves | Lesionados Menos Graves | Lesionados Leves | Total Lesionados | Índice de Severidad |
| ------: | ---------: | -------:   | ----------------: | ----------------------: | -------------:   | --------------:  | ------------------: |
| 2014    |         80 |         30 |                23 |                       5 |               23 |               51 |                37.5 |
| 2015    |         60 |         21 |                 9 |                       3 |               17 |               29 |                35.0 |
| 2016    |         90 |         35 |                25 |                      11 |               49 |               85 |                38.9 |
| 2017    |         84 |         36 |                17 |                       3 |               14 |               34 |                42.9 |
| 2018    |         95 |         44 |                25 |                       5 |               27 |               57 |                46.3 |

| Causa                        | Siniestros | Fallecidos | Lesionados Graves | Lesionados Menos Graves | Lesionados Leves | Total Lesionados |
| :--------------------------- | ---------: | ---------: | ----------------: | ----------------------: | ---------------: | ---------------: |
| Imprudencia del peatón       |        258 |        137 |                79 |                       9 |               37 |              125 |
| Otras causas                 |        136 |         65 |                23 |                       2 |               23 |               48 |
| Causas no determinadas       |         74 |         40 |                17 |                       5 |               10 |               32 |
| Imprudencia del conductor    |        183 |         40 |                33 |                       8 |              117 |              158 |
| Desobediencia a señalización |        140 |         16 |                39 |                      22 |               61 |              122 |

CARABINEROS DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,
ZONA TTO. CARRETERAS Y SEGURIDAD VIAL,,,,,,,,,,,,,,,,,,,,,,,,,,
PREFECTURA TÉCNICA Y SEGURIDAD VIAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SINIESTROS FERROVIARIOS - DATOS ANUALES,,,,,,,,,,,,,,,CAUSAS DE LOS SINIESTROS FERROVIARIOS,,,,,,,,,,
Año,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,Total Lesionados,Índice de Severidad,,,,,,,,,,,,,,,,,,,
2014.0,80.0,30.0,23.0,5.0,23.0,51.0,37.5,,,,,,,,,,,,,,,,,,,
2015.0,60.0,21.0,9.0,3.0,17.0,29.0,35.0,,,,,,,,,,,,,,,,,,,
2016.0,90.0,35.0,25.0,11.0,49.0,85.0,38.9,,,,,,,,,,,,,,,,,,,
2017.0,84.0,36.0,17.0,3.0,14.0,34.0,42.9,,,,,,,,,,,,,,,,,,,
2018.0,95.0,44.0,25.0,5.0,27.0,57.0,46.3,,,,,,,,,,,,,,,,,,,
2019.0,97.0,31.0,31.0,5.0,39.0,75.0,32.0,,,,,,,,,,,,,,,,,,,
2020.0,75.0,15.0,20.0,3.0,16.0,39.0,22.7,,,,,,,,,,,,,,,,,,,
2021.0,111.0,26.0,22.0,4.0,40.0,70.0,23.4,,,,,,,,,,,,,,,,,,,
2022.0,112.0,36.0,24.0,5.0,37.0,66.0,32.1,,,,,,,,,,,,,,,,,,,
2023.0,95.0,35.0,31.0,7.0,15.0,53.0,38.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Causa,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,Total Lesionados,,,,,,,,,,,,,,,,,,,,
Imprudencia del peatón,258,137.0,79.0,9.0,37.0,125.0,,,,,,,,,,,,,,,,,,,,
Otras causas,136,65.0,23.0,2.0,23.0,48.0,,,,,,,,,,,,,,,,,,,,
Causas no determinadas,74,40.0,17.0,5.0,10.0,32.0,,,,,,,,,,,,,,,,,,,,
Imprudencia del conductor,183,40.0,33.0,8.0,117.0,158.0,,,,,,,,,,,,,,,,,,,,
Desobediencia a señalización,140,16.0,39.0,22.0,61.0,122.0,,,,,,,,,,,,,,,,,,,,
Alcohol en peatón,49,9.0,26.0,7.0,9.0,42.0,,,,,,,,,,,,,,,,,,,,
Alcohol en conductor,15,2.0,3.0,2.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,
Alcohol en pasajero,2,1.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Imprudencia del pasajero,5,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
Deficiencias viales,5,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
Drogas y/o fatiga en conductor,2,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
