Región,Siniestros,Fallecidos,Graves,Menos Graves,Leves,Total Lesionados,Índice Severidad,Km vía férrea
Arica y Parinacota,5,0,0,1,3,4,0.0,269.8
Tarapacá,1,0,0,0,0,0,0.0,578.5
Antofagasta,70,11,12,2,36,50,15.7,1805.7
Atacama,11,1,4,1,1,6,9.1,934.8
Coquimbo,18,2,4,1,6,11,11.1,715.1
Valparaíso,106,22,22,5,37,64,20.8,527.2
Metropolitana,210,70,53,16,52,121,33.3,359.8
Lib. B. O'Higgins,83,64,7,2,11,20,77.1,404.3
Maule,85,53,12,6,20,38,62.4,461.9
Ñuble,14,7,2,1,8,11,50.0,178.9
Biobío,186,63,68,15,75,158,33.9,627.3
La Araucanía,96,15,38,3,27,68,15.6,848.7
Los Ríos,14,3,5,2,1,8,21.4,357.1
Los Lagos,0,0,0,0,0,0,0.0,365.8
Aysén del Gral. Carlos Ibáñez del Campo,0,0,0,0,0,0,0.0,0.0
Magallanes y La Antártica Chilena,0,0,0,0,0,0,0.0,0.0
