Nombre del cruce,Regulación,Comuna,Nivel de prioridad social,"Densidad poblacional por km cuadrado
",Índice de Comuna Rural/Urbana,Tipo de  suelo en uso,Estado actual
S/N,Regulado,Pedro Aguirre Cerda,Media alta prioridad,9606.2,100% Urbana,Residencial,Clausurado
S/N,Regulado,Pedro Aguirre Cerda,Media alta prioridad,9606,100% Urbana,Residencial,Clausurado
S/N,Regulado,Pedro Aguirre Cerda,Media alta prioridad,9606.2,100% Urbana,Residencial,Clausurado
Lo Espejo,Regulado,Lo espejo,Alta prioridad,12470.1,100% Urbana,Residencial,
Las Ovejas,Regulado,El Bosque,Media alta prioridad,10933.5,100% Urbana,Actividades Productivas,Clausurado
Lo Blanco,Regulado,El Bosque,Media alta prioridad,10933.5,100% Urbana,Residencial,Clausurado
S/N,Irregular ,San Bernardo,Media alta prioridad,1976.5,"Mixta (1,354% de Población Rural)",Actividades Productivas,En Uso
La Selva,Regulado,San Bernardo,Media alta prioridad,1976.5,"Mixta (1,354% de Población Rural)",Residencial,En uso
S/N,Regulado,San Bernardo,Media alta prioridad,1976.5,"Mixta (1,354% de Población Rural)",Residencial,En uso
Nos,Regulado,San Bernado,Media alta prioridad,1976.5,"Mixta (1,354% de Población Rural)",Actividades Productivas,Clausurado
S/N,Irregular,San Bernardo,Media alta prioridad ,1976.5,"Mixta (1,354% de Población Rural)",Residencial,En Uso
El Recurso,Regulado,Buín,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",Actividades Productivas,En uso
Los Guindos,Regulado,Buín,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",Actividades Productivas,En uso
Linderos,Regulado,Buín,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",Recidencial,En uso
S/N,Irregular,Buin ,Media baja prioridad ,546.5,"Mixta (13,7% de Población Rural)",Residencial,En Uso
S/N,Irregular,Buin ,Media baja prioridad ,546.5,"Mixta (13,7% de Población Rural)",Actividades Productivas,En Uso
S/N,Irregular,Buin ,Media baja prioridad ,546.5,"Mixta (13,7% de Población Rural)",Actividades Prodcutivas,En Uso
Bascuñan,Regulado,Buín,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",Reciencial,En Uso
Paine,Regulado,Paine,Medía alta prioridad,96.1,Mixta (35% de Población Rural),Recidencial,En Uso
Rinconada,Regulado,Paine,Media alta prioridad,96.1,Mixta (35% de Población Rural),Residencial,En Uso
Las Mulas,Regulado,Paine,Media alta prioridad,96.1,Mixta (35% de Población Rural),Recidencial,En Uso
Aguila Sur,Regulado,Paine,Media alta prioridad,96.1,Mixta (35% de Población Rural),Recidencial,En Uso
