dia,siniestros,año
Lunes,11280,2014
Martes,10840,2014
Miércoles,11420,2014
Jueves,11370,2014
Viernes,11830,2014
Sábado,10590,2014
Domingo,9020,2014
Lunes,11400,2015
Martes,10980,2015
Miércoles,11560,2015
Jueves,11480,2015
Viernes,11960,2015
Sábado,10750,2015
Domingo,9150,2015
Lunes,11320,2016
Martes,10910,2016
Miércoles,11500,2016
Jueves,11430,2016
Viernes,11900,2016
Sábado,10670,2016
Domingo,9100,2016
Lunes,11390,2017
Martes,10950,2017
Miércoles,11580,2017
Jueves,11510,2017
Viernes,11950,2017
Sábado,10720,2017
Domingo,9170,2017
Lunes,11780,2018
Martes,11200,2018
Miércoles,11860,2018
Jueves,11830,2018
Viernes,12390,2018
Sábado,11110,2018
Domingo,9470,2018
Lunes,11310,2019
Martes,10900,2019
Miércoles,11520,2019
Jueves,11440,2019
Viernes,11920,2019
Sábado,10640,2019
Domingo,9050,2019
Lunes,9360,2020
Martes,9100,2020
Miércoles,9500,2020
Jueves,9420,2020
Viernes,9750,2020
Sábado,8700,2020
Domingo,7800,2020
Lunes,11150,2021
Martes,10810,2021
Miércoles,11390,2021
Jueves,11330,2021
Viernes,11790,2021
Sábado,10530,2021
Domingo,9000,2021
Lunes,11430,2022
Martes,11030,2022
Miércoles,11580,2022
Jueves,11480,2022
Viernes,12020,2022
Sábado,10720,2022
Domingo,9180,2022
Lunes,11500,2023
Martes,11100,2023
Miércoles,11620,2023
Jueves,11570,2023
Viernes,12070,2023
Sábado,10840,2023
Domingo,9240,2023
Lunes,11520,2024
Martes,11150,2024
Miércoles,11680,2024
Jueves,11590,2024
Viernes,11998,2024
Sábado,10792,2024
Domingo,9214,2024
