Comuna,Regulación,Total,Región,Índice de Ruralidad por Comuna,Densidad Poblacional por KM Cuadrado
San Bernardo,Regulado,2,Metropolitana,"Mixta (1,354% de Población Rural)",1976.5
San Bernardo,Irregular,2,Metropolitana,"Mixta (1,354% de Población Rural)",1976.5
Buin,Regulado,4,Metropolitana,"Mixta (13,7% de Población Rural)",546.5
Buin,Irregular,3,Metropolitana,"Mixta (13,7% de Población Rural)",546.5
Paine,Regulado,4,Metropolitana,"Mixta (35,9% de Población Rural)",96.1
Paine,Irregular,0,Metropolitana,"Mixta (35,9% de Población Rural)",96.1
Mostazal,Regulado,4,O´Higgins,"Mixta (17,3% de Población Rural)",64.6
Mostazal,Irregular,4,O´Higgins,"Mixta (17,3% de Población Rural)",64.6
Codegua,Regulado,1,O´Higgins,"Mixta (44,5% de Población Rural)",48.6
Codegua,Irregular,0,O´Higgins,"Mixta (44,5% de Población Rural)",48.6
Graneros,Regulado,3,O´Higgins,"Mixta (9,7% de Población Rural)",318
Graneros,Irregular,0,O´Higgins,"Mixta (9,7% de Población Rural)",318
Rancagua,Regulado,8,O´Higgins,"Mixta (2,9% de Población Rural)",990.1
Rancagua,Irregular,0,O´Higgins,"Mixta (2,9% de Población Rural)",990.1
Olivar,Regulado,2,O´Higgins,"Mixta (30,6% de Población Rural)",308.9
Olivar,Irregular,1,O´Higgins,"Mixta (30,6% de Población Rural)",308.9
Requínoa,Regulado,13,O´Higgins,"Mixta (40,1% de Población Rural)",43.8
Requínoa,Irregular,1,O´Higgins,"Mixta (40,1% de Población Rural)",43.8
Rengo,Regulado,8,O´Higgins,"Mixta (20,5% de Población Rural)",84.2
Rengo,Irregular,0,O´Higgins,"Mixta (20,5% de Población Rural)",84.2
Malloa,Regulado,3,O´Higgins,"Mixta (57,6% de Población Rural)",112.8
Malloa,Irregular,0,O´Higgins,"Mixta (57,6% de Población Rural)",112.8
San Fernando,Regulado,4,O´Higgins,Mixta (13% de Población Rural),30.9
San Fernando,Irregular,2,O´Higgins,Mixta (13% de Población Rural),30.9
Chimbarongo,Regulado,9,O´Higgins,"Mixta (40,4% de Población Rural)",74.8
Chimbarongo,Irregular,6,O´Higgins,"Mixta (40,4% de Población Rural)",74.8
Teno,Regulado,5,Maule,Mixta (65% de Población Rural),48.6
Teno,Irregular,3,Maule,Mixta (65% de Población Rural),48.6
Curicó,Regulado,8,Maule,"Mixta (10,3% de Población Rural)",120.4
Curicó,Irregular,2,Maule,"Mixta (10,3% de Población Rural)",120.4
Molina,Regulado,6,Maule,"Mixta (16,6% de Población Rural)",31.5
Molina,Irregular,1,Maule,"Mixta (16,6% de Población Rural)",31.5
Río Claro,Regulado,1,Maule,"Mixta (66,3% de Población Rural)",33.1
Río Claro,Irregular,1,Maule,"Mixta (66,3% de Población Rural)",33.1
San Rafael,Regulado,4,Maule,"Mixta (44,7% de Población Rural)",42.6
San Rafael,Irregular,0,Maule,"Mixta (44,7% de Población Rural)",42.6
Talca,Regulado,12,Maule,"Mixta (4,7% de Población Rural)",1000.5
Talca,Irregular,2,Maule,"Mixta (4,7% de Población Rural)",1000.5
Maule,Regulado,1,Maule,"Mixta (16,8% de Población Rural)",321.4
Maule,Irregular,1,Maule,"Mixta (16,8% de Población Rural)",321.4
San Javier,Regulado,3,Maule,"Mixta (24,9% de Población Rural)",37.7
San Javier,Irregular,0,Maule,"Mixta (24,9% de Población Rural)",37.7
Villa Alegre,Regulado,3,Maule,"Mixta (36,1% de Población Rural)",94.3
Villa Alegre,Irregular,0,Maule,"Mixta (36,1% de Población Rural)",94.3
Linares,Regulado,9,Maule,"Mixta (17,1% de Población Rural)",65.9
Linares,Irregular,1,Maule,"Mixta (17,1% de Población Rural)",65.9
Longaví,Regulado,6,Maule,"Mixta (67,1% de Población Rural)",22.9
Longaví,Irregular,6,Maule,"Mixta (67,1% de Población Rural)",22.9
Retiro,Regulado,5,Maule,"Mixta (61,1% de Población Rural)",26.9
Retiro,Irregular,0,Maule,"Mixta (61,1% de Población Rural)",26.9
Parral,Regulado,4,Maule,"Mixta (24,8% de Población Rural)",27.6
Parral,Irregular,5,Maule,"Mixta (24,8% de Población Rural)",27.6
